address,axg,ayg,azg,AngleXdeg,AngleYdeg,AngleZdeg,hx,hy,hz,q0,q1,q2,q3
5,0.0122,0.981,0.0371,86.8359,-0.379,-108.446,-3792,-5946,1038,0.42645,0.39984,-0.55902,-0.58792
5,0.0098,0.9771,0.0332,87.0502,-0.2087,-108.2867,-3794,-6024,1031,0.42612,0.40097,-0.55902,-0.58737
5,-0.0107,0.9673,0.0186,87.1655,-0.0879,-108.1769,-3794,-6054,1033,0.42529,0.40384,-0.55869,-0.58633
5,0.0068,0.9604,0.0229,87.2699,0.0275,-108.0615,-3788,-5945,1039,0.4249,0.40546,-0.55838,-0.58582
5,-0.0039,0.9653,0.0273,87.6764,0.3571,-108.0945,-3827,-6017,1077,0.42123,0.40829,-0.55972,-0.58521
5,0.001,0.9814,0.0361,87.6324,0.5109,-108.446,-3836,-6076,1111,0.41925,0.40738,-0.55978,-0.58716
5,-0.022,0.9746,0.0415,87.6819,0.6152,-108.6713,-3860,-5922,1081,0.41846,0.40686,-0.56024,-0.58768
5,-0.0161,0.9785,0.0298,87.8851,0.7965,-108.8031,-3885,-5939,1173,0.41516,0.40799,-0.56128,-0.58823
5,-0.0127,0.9771,0.0225,87.9346,0.813,-108.6658,-3892,-5864,1171,0.41531,0.40842,-0.56119,-0.58792
5,-0.0127,0.9771,0.0225,87.962,0.8295,-108.3911,-3904,-5859,1193,0.41559,0.40891,-0.561,-0.58759
5,-0.0063,0.98,0.0249,87.995,0.835,-108.2758,-3915,-5989,1190,0.41724,0.41113,-0.55984,-0.58594
5,-0.0171,0.981,0.0166,88.0554,0.8734,-108.1549,-3902,-6028,1192,0.41745,0.41199,-0.55966,-0.58536
5,-0.0088,0.9741,0.0234,88.0719,0.9393,-108.1659,-3913,-5834,1180,0.41702,0.41251,-0.55945,-0.58551
5,-0.0112,0.9639,0.0215,88.0609,1.0931,-108.1659,-3924,-5895,1192,0.41644,0.41324,-0.5589,-0.58594
