Frame #,# Obj,X,Y,Z,Doppler,Intensity,Abs Time,Camera Frame
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,15
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,15
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,15
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,15
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,15
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,15
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,15
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,16
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,16
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,16
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,16
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,16
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,16
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,16
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,17
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,17
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,17
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,17
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,17
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,17
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,17
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,18
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,18
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,18
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,18
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,18
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,18
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,18
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,19
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,19
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,19
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,19
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,19
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,19
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,19
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,20
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,20
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,20
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,20
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,20
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,20
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,20
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,21
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,21
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,21
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,21
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,21
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,21
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,21
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,22
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,22
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,22
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,22
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,22
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,22
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,22
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,23
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,23
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,23
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,23
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,23
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,23
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,23
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,24
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,24
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,24
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,24
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,24
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,24
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,24
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,25
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,25
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,25
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,25
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,25
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,25
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,25
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,26
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,26
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,26
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,26
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,26
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,26
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,26
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,27
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,27
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,27
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,27
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,27
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,27
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,27
106,7,-0.91602,2.4766,0.35938,0.356,10,1.6515e+09,28
106,7,-0.8418,2.5244,0.42578,0.356,12,1.6515e+09,28
106,7,-0.93652,2.5117,0.48145,0.356,9,1.6515e+09,28
106,7,-0.74121,2.5195,0.22461,-0.356,11,1.6515e+09,28
106,7,-0.75,2.5469,0.2373,-0.356,18,1.6515e+09,28
106,7,-0.75781,2.5723,0.26563,-0.356,20,1.6515e+09,28
106,7,-0.76563,2.6035,0.23828,-0.356,16,1.6515e+09,28
143,8,0.76563,2.583,0.40137,0,5,1.6515e+09,29
143,8,0.86035,2.5928,0.34375,0,6,1.6515e+09,29
143,8,0.69531,2.6436,0.52051,0,5,1.6515e+09,29
143,8,0.77441,2.6045,0.44238,0.356,7,1.6515e+09,29
143,8,0.85156,2.5713,0.28418,-0.356,14,1.6515e+09,29
143,8,0.77441,2.6299,0.25,-0.356,16,1.6515e+09,29
143,8,0.86914,2.6328,0.2373,-0.356,14,1.6515e+09,29
143,8,0.70313,2.7197,0.11133,-0.356,9,1.6515e+09,29
143,8,0.76563,2.583,0.40137,0,5,1.6515e+09,30
143,8,0.86035,2.5928,0.34375,0,6,1.6515e+09,30
143,8,0.69531,2.6436,0.52051,0,5,1.6515e+09,30
143,8,0.77441,2.6045,0.44238,0.356,7,1.6515e+09,30
143,8,0.85156,2.5713,0.28418,-0.356,14,1.6515e+09,30
143,8,0.77441,2.6299,0.25,-0.356,16,1.6515e+09,30
143,8,0.86914,2.6328,0.2373,-0.356,14,1.6515e+09,30
