StartTime: 2022-05-01 14:42:26.245
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
COM1	 16:07:59.460	-0.2676	0.9150	0.1865	0.0000	0.0000	0.0000	78.1403	16.1279	-85.7593	29.2900	490	-13608	-1262	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.50305	0.53137	-0.34482	-0.58786	0	0.00	0.00	0.00
COM2	 16:07:59.460	0.2031	0.9146	0.2803	0.0000	0.0000	0.0000	72.8833	-11.8213	-91.7413	31.2400	-2191	-6097	-1799	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	-0.60101	-0.35187	0.48178	0.53174	0	0.00	0.00	0.00
COM2	 16:07:59.460	0.2031	0.9146	0.2803	0.0000	0.0000	0.0000	72.8119	-11.7554	-91.7853	31.2400	-2191	-6097	-1799	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	-0.60101	-0.35187	0.48178	0.53174	0	0.00	0.00	0.00
COM1	 16:07:59.460	-0.2661	0.9146	0.1953	0.0000	0.0000	0.0000	78.2611	16.1334	-85.6165	29.2900	490	-13608	-1262	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.50305	0.53137	-0.34482	-0.58786	0	0.00	0.00	0.00
COM1	 16:07:59.474	-0.2676	0.9155	0.1885	0.0000	0.0000	0.0000	78.2611	16.1334	-85.6165	29.2200	490	-13608	-1262	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.50305	0.53137	-0.34482	-0.58786	0	0.00	0.00	0.00
COM1	 16:07:59.474	-0.2676	0.9155	0.1885	0.0000	0.0000	0.0000	78.2776	16.1279	-85.5670	29.2200	490	-13608	-1262	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.50305	0.53137	-0.34482	-0.58786	0	0.00	0.00	0.00
COM5	 16:07:59.478	0.0254	0.9380	-0.2505	0.0000	0.0000	0.0000	104.8975	-1.3019	-119.1742	29.7900	-3471	-5218	3315	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.31625	0.39529	-0.68716	-0.52097	0	0.00	0.00	0.00
COM1	 16:07:59.479	-0.2759	0.9194	0.1870	0.0000	0.0000	0.0000	78.2886	16.1224	-85.5176	29.2900	498	-13604	-1192	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.50363	0.53275	-0.34448	-0.58630	0	0.00	0.00	0.00
COM1	 16:07:59.481	-0.2759	0.9194	0.1870	0.0000	0.0000	0.0000	78.2996	16.1169	-85.4846	29.2900	498	-13604	-1192	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.50363	0.53275	-0.34448	-0.58630	0	0.00	0.00	0.00
COM0	 16:07:59.483	0.1367	0.9688	0.0479	0.0000	0.0000	0.0000	86.9678	-8.5254	151.7706	29.2500	491	-6767	2025	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	-0.12512	-0.21890	-0.65247	-0.71454	0	0.00	0.00	0.00
COM4	 16:07:59.487	0.0332	0.9341	-0.2759	0.0000	0.0000	0.0000	106.1169	-2.0929	108.4845	29.2200	1987	-6544	2710	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.33923	0.47583	0.64206	0.49612	0	0.00	0.00	0.00
COM4	 16:07:59.487	0.0361	0.9341	-0.2749	0.0000	0.0000	0.0000	106.1115	-2.0929	108.4735	29.2200	1987	-6544	2710	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.33923	0.47583	0.64206	0.49612	0	0.00	0.00	0.00
COM3	 16:07:59.487	0.0405	0.9634	0.0508	0.0000	0.0000	0.0000	86.7975	-2.5873	174.0674	31.4100	57	-6704	2919	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	-0.02203	-0.05191	-0.68509	-0.72620	0	0.00	0.00	0.00
COM0	 16:07:59.502	0.1357	0.9629	0.0488	0.0000	0.0000	0.0000	86.9623	-8.5144	151.7267	29.3000	491	-6767	2025	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	-0.12677	-0.21964	-0.65234	-0.71414	0	0.00	0.00	0.00
COM4	 16:07:59.502	0.0361	0.9341	-0.2749	0.0000	0.0000	0.0000	106.1115	-2.0929	108.4735	29.2200	1987	-6544	2710	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.33929	0.47589	0.64197	0.49612	0	0.00	0.00	0.00
COM5	 16:07:59.502	0.0234	0.9380	-0.2515	0.0000	0.0000	0.0000	104.8865	-1.3019	-119.1467	29.7700	-3474	-5198	3294	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.31641	0.39545	-0.68701	-0.52097	0	0.00	0.00	0.00
COM4	 16:07:59.502	0.0366	0.9331	-0.2720	0.0000	0.0000	0.0000	106.1060	-2.0984	108.4680	29.2200	1987	-6544	2710	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.33929	0.47589	0.64197	0.49612	0	0.00	0.00	0.00
COM4	 16:07:59.502	0.0366	0.9331	-0.2720	0.0000	0.0000	0.0000	106.1060	-2.0984	108.4680	29.2200	1978	-6554	2688	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.33929	0.47589	0.64197	0.49612	0	0.00	0.00	0.00
COM3	 16:07:59.518	0.0405	0.9634	0.0508	0.0000	0.0000	0.0000	86.8085	-2.5873	174.0674	31.4100	64	-6705	2934	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	-0.02203	-0.05191	-0.68518	-0.72610	0	0.00	0.00	0.00
COM1	 16:07:59.518	-0.2749	0.9170	0.1914	0.0000	0.0000	0.0000	78.2996	16.1169	-85.4846	29.2900	498	-13604	-1192	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.50378	0.53287	-0.34439	-0.58612	0	0.00	0.00	0.00
COM3	 16:07:59.518	0.0415	0.9609	0.0493	0.0000	0.0000	0.0000	86.8250	-2.5928	174.0674	31.3800	63	-6659	2947	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	-0.02200	-0.05194	-0.68527	-0.72604	0	0.00	0.00	0.00
